,source,target,sampled
47,a group of woman sitting around at a picnic,a bunch of girls sit on the grass with several things on a blanket, a bunch of women sit on the ground near a large body of water
48,a computer desk with a laptop another monitor with a keyboard and mouse,a desk area with several computer screens and coffee mugs, a computer computer with laptop monitors and a laptop computer
49,a couple of pictures that have some people and some fire hyrdons,a picture collage with fire hydrants and people, a couple poses with fire while people watch
50,a sandwich display and a sign at an eatery,a display case shows off a sandwich with a sign, a menu menu to a display of a restaurant
51,the back view of an airplane on a runway,searchlights in front view and a plane on a wide runway in the background, airplane on top of a plane with mountains in the background
52,a little child offering a bite of a banana,a close up of a child eating a banana, a little girl on a beach eating a banana
53,men in blue with hats are riding elephants,a group of elephants being ridden by people wearing blue, a group of elephants being driven by men
54,a view down into a living room and kitchen,this is what your ceiling fan thinks your house looks like, this is setting but i i s kitchen s kitchen
55,a green pole with street signs attached to it,a street sign with a traffic light underneath, a pole with a pole in it it
56,group of men taking their suitcases out of a car,man unloading luggage onto an airport cart from a car, men loading suitcases loading an suv on a car
57,a bedroom with dresser desk and bed in it,a black and white photo of a bedroom, a young woman in a bed is bed
58,thee computer keyboard is white and it has a matching white mouse,a desktop with a white mouse and keyboard, a keyboard with a white and keyboard
59,some people standing around a bright lit up party bus,a colorful bus decorated with lights is standing on road at night, a crowded crowd stands at a crowded place with people around it
60,a man holding a wii game controller while standing in a living room,a man playing wii in a dirty room, a man playing video games
61,a man standing on a hillside next to a lake holding frisbee,a man standing by the ocean with something in his hand, a man standing by the shore with something in the air
62,people shopping for interactive video games at best buy,a group of people playing games while holding remotes, a group of people playing cards while standing inside a store
63,a plate with meat and green veggies mixed with sauce,assortment of cooked vegetable on white plate on table, pastry plate down the plate of food
64,a big elephant and a little elephant walking,a mother elephant with her young one walking around, a elephant pulling two large elephant on it
65,a black cat standing in front of a motorcycle,a black cat meanders up the walkway in front of a motorcycle in front of a house, a black curly haired dog stands on top of a car in front of a white car
66,traffic is stopped at a red stop light,a traffic light and intersection with cars traveling in both directions on the street, a traffic station with people on it while traffic traffic in the background
67,a long tunnel with a long table with lots of seats and candles next to wine glasses,many tables next to each other in a row, umbrellas sit to have drinks
68,some people playing with a disc in a field,a couple of men are running around in a field, a group of men play baseball in front of a field
69,the meal of fish has a side of broccoli,fish and broccoli plated neatly on a dish sitting on a table, fish and veggies sit stacked on a table in a cafeteria
70,a couple of men standing in front of a building,two men getting food at an outside restaurant, two men getting ready in front of a building
71,a man rides with a child on a motorcycle down a busy street with other pedestrians and bicyclists,a man riding on a motor scooter with a child in his lap, a man riding on a moped with a child in the background
72,a cat sitting by a laptop but staring at a person,a grey and white cat sits near a laptop, a cat is sitting behind a computer
73,a skateboarder doing a flip at a skate park,a man doing a trick with a skateboard on a ledge, a man doing a trick with a skateboard on a bench
74,living room arrangement with lights and windows and chairs,a living room that has a couple of chairs in it, a room with chairs is being built in a room
75,a small room with a bed and window letting in light,a hotel room scene with focus on the bed and the window, a bed covered with furniture looking on the window
76,a woman standing in front of an outdoor wall decorated with images and clocks,a person is looking at a display of clocks, a woman is in front of a bunch of art
77,a small girl sits atop a saddled animal,a little girl wearing a black hat can be seen on a saddle riding, a little girl wearing a pink dress is trying to ride a horse
78,a statue of a woman holding a ball stands in front of the old church,that looks like a statue of the virgin mary beside the church, here is a photo of jesus behind the older woman
79,a man biting into a doughnut with a sly look,a man wearing glasses eating a donut, a man wearing glasses eating a hotdog
80,a parking meter sitting next to a street with a very odd looking building next to it,a number of buildings in the distance, a parking lot in the road
81,three dogs on a field of green grass,a pack of dogs are playing outside in the grass, three dogs are running on the grass
82,a man getting a kiss on the neck from an elephant s trunk,an elephant using his truck to cuddle with a man, an elephant with his arms over and a man
83,clocks may be seen on all sides of the tower,a large building is shown with clocks on the side, a large group of people sit on the ground near a building
84,several people engaged in para sailing on a lake,a parasailer in the distance with two surfers in the foreground, several people are near the ocean with mountains
85,a close up of a man as he holds a piece of bread in his mouth,a man with a pizza hanging out of his mouth, a man with a box over his mouth open
86,a man and a woman cutting up a big sheet cake,servers cut and plate some birthday cake slices, 2 year cut up paper cake with a knife
87,a small calf nursing a cow in a pasture,the young cow is standing in the field with the older cows, the brown dog is running in the grass with the sheep
88,a man wearing glasses eating a hot dog,a young man with glasses eating a hot dog with bun, a man with glasses eats a hotdog with his dog
89,a man riding a motorcycle down a small paved road,a person on a motorcycle traveling on a street near a group, a man on a motorcycle riding on a road in a city
90,a little boy making a mess with his dinner,a small child with his fingers in his mouth and plate of food, a small boy with his hands in his hands and making food
91,this colorfully dressed man is wakeboarding on the river,the man is about to perform a stunt in the water, the man is about to go a river
92,a batter and catcher talking to the umpire at home plate,three baseball players stand communicating on a field, two baseball players sitting around a plate
93,three people on a field of green grass,one girl trying to block another girl from catching a frisbee, three men and women hang out from a grassy field
94,a little boy with a baseball bat in hand,two young boys in a black and white picture are playing baseball, little boy in a baseball uniform is holding a baseball bat and bat
95,cat sitting on the ground between bikes showing its teeth,a cat sitting next to a bunch of bikes parked next to each other, a cat sitting next to a broken wall looking at some toys
96,a multi colored umbrella that is blocking out the sun,the sun peeking through a colorful umbrella next to a palm tree, orange umbrella covered on a sunny day with rain lights
97,a large brown wooden clock mounted to a wall,the grandfather clock is many years old and worn, an image image of an airplane that is hanging above
98,a woman feeding a little boy french fries at a restaurant,mom has to help him eat his hot dog and bun, an asian boy and his son eating out of food and eat food
99,a train is coming down the tracks on a snowy day,a train in a rural area covered with heavy snow, a train in a wooded area with snow covered
100,a man holding two plates of food while smiling,server smiling while carrying food inside a busy restaurant, gentleman holding plates eating food outdoors
101,a giraffe stares out of a glass window,the stuffed giraffe is looking out the high rise window, the mouse looks through the glass as she looks down
102,two elephants walking around the center ring of a circus,a brown and a gray elephant are in a circus ring and the brown elephant is walking behind the gray elephant as well as two people training them are standing nearby, a large brown and white cow is being held by two people wearing white shirts and a white t shirt and a man in a white shirt and blue pants
103,two dogs laying down on a brown couch,two black dogs on a couch sleeping peacefully, two white dogs on a couch laying together
104,two giraffes are peering up above some bushes,two top halve of two giraffes walking in trees, two rabbits look like something in green bushes
105,a long silver train traveling through a small city,two passenger trains on opposite tracks speeding down the tracks, a crowded train driving down train tracks on the streets
106,white sheep standing in front of a colorful wall in a building,a sheep stands in front of a box of colorful objects, a animal stands in front of a wooden building
107,a large group of people riding on top of some elephants,a group of elephants being ridden by people wearing blue, a group of elephants travel through a large crowd of people
108,a microwave sits built in some cupboards,a close up of a microwave attached to a wall, a kitchen and its dishes on a small floor
109,the red boat is anchored on the shore of the lake in front of the houses,a boat passes by waterfront houses flanked by trees, a boat floats along by shore
110,woman standing in a field of grass trying to use her cell phone,looking at beautiful scenery through the lens of a phone camera, female talking to her phone at the beach
111,a bunch of bananas hanging on the tree,a couple of trees and one with bananas in it, a group of bananas and some of them outside
112,a brown fuzzy bear standing in front of a leaf filled tree,a picture of a grizzly bear in the wild, a large animal next in the snow
113,a child holding a pink toy cell phone with princess aurora inside it,someone is holding a pick cellular flip phone, someone is holding a cell phone phone
114,a little boy in a blue shirt is playing baseball,boys playing baseball with one little boy at bat and parents watching, boy playing baseball game and trying to catch a baseball
115,three bowls filled with vegetables on top of a table,there are several bowls with veggies in them, there are several objects with containers in the background
116,man on long board skating down steep road,a skateboarder weaving in and out of cones, a man grinding around and down a hill
117,a bath tub with a toilet beside it,this is an old fashioned toilet with the tank high above, this is an shower tub with a tub and tub of it
118,a tennis player with a racket on a court,indoor tennis match with a full crowd of spectators, tennis player hitting a tennis ball with a racket
119,a male with a bottled beverage wearing a flower in his lapel,a man holding a bottle of something to drink, a man holding a bottle of liquid on his head
120,stop sign with a tree branch touching it,a stop sgn with a branch in front of it, a sign asking directions a tree in front of a tree
121,an american airlines plane is in the sky,a red white and blue plane is in the sky, a white and white plane is in the sky
122,a city street with cars and street lights,a city road with cars truck and traffic lights, a street scene with cars and cars parked down
123,a locomotive train carrying carts down a track,a black train with steam coming from underneath passes by a building, a yellow train with bricks moving from behind a gate with people in it
124,a stable full of lambs standing and laying around,a bunch of goats on grass in an area, a bunch of birds on grass with a person standing
125,a train car is sitting on some train tracks,a train engine approaches a switch in a train yard, a train station train tracks a train
126,the side of a bus parked on the side of a street,a large long bus going down a city street, a large bus stop to a busy street
127,a man is holding a plate and smiling happily,a smiling man holding a little plate of food, a smiling man holding a plate of food
128,a whimsical artistic toaster has eyes a mouth a nose spoon feet spoon ears and a mixing beater tail,a toaster has been decorated with other kitchen items and googly eyes to look like a person, a skillet has used using chopsticks while it makes it with a knife to it
129,two cars facing towards a variety of motorcycles,two very old time cars in front of a group of motorcycles, two cars of different colored cars on a racetrack
130,a ghost sitting on a living room chair,the sillouhette of a man sits in a chair in a dimly lit room, santa clause in a chair is sitting in a chair surrounded by chairs
131,a skier on skies and a snowboarder carrying a snowboard on a mountain slope,the snowboarder is posing for a picture on the mountain, one person skiing down a mountain on a mountain
132,a large yellow kite is flying over a park in the daytime,a park with several vehicles parked on the grass, a flying flying flying in the sky
133,a table topped with a pizza surrounded by men,two people sitting at a table with a pizza pie, several men in a kitchen holding a plate of food
134,troisgros are piled up for sale at a busy market,a pile of a pigs in a blanket, a bunch of people in a market
135,a woman on skis stands on a flat snowy surface,a woman is attempting to ski on flat ground while others in the background are playing around, a woman is bundled up and skiing on snow covered slope on a sunny day
136,a female statue in a sea of green grass next to plant,a woman statue holding a pitcher and basket in a garden, a woman standing next to a plant
137,a stuffed animal is in front of a notebook computer,a person who is sitting and looking up at a computer monitor, a dog is sitting and standing at a table while standing in front of a computer
138,people are lined up along a long picnic table,a group of people eating food at an outdoor picinic, a group of people sitting at picnic tables
139,the signs give the street names and show where to park,a wooden utility pole sports several street signs, a sign advertising colorful signs outdoors downtown
140,a street scene with cars and a stoplight,a street with a bunch of cars on it, a street with a lot of cars on it
141,a group of people riding skis across a snow covered slope,skiers and snowboarders mill about on a mountain, skiers and skiers go downhill on a mountain
142,a man holding a wii controller and pursing his lips,the boy is playing a video game and making a funny face, the man is playing a video game and making a funny face
143,3 people in a dirt field playing soccer,three people are kicking around an orange ball, three people are kicking around an outdoor ball
144,there is pizza on the plate on the table,two halloween characters next to a pizza on a table, an umpire prepares to a pizza on a table
145,three zebra standing next to each other on a dirt ground,three zebras standing next to each other in a field, three sisters standing next to each other in a field
146,two people hiking up a mountain with their ski s,a person with some skis standing in the snow, a person with skis hiking in the snow
147,an open laptop on a desk surrounded by clutter,a page left open on a laptop on a cluttered desk, a desk on a laptop on a laptop computer on a laptop
148,there are many people who are gathered at a get together or a party,a woman holding a plastic utensil passing out a piece of cake, a group of people gathered together watching a large party
149,a group of giraffes roam their enclosure at the zoo,a herd of giraffes in a zoo enclosure, a flock of pigeons in a petting zoo
150,a commuter train at the station at night,a train passes by in an empty station, a train station with many people in an airport
151,a white kitchen with wood cabinets in the midst of repairs,a white refrigerator freezer sitting inside of a kitchen, a white refrigerator cutting wood in the kitchen
152,a little girl sitting on top of a bed next to a lamp,playing board games while the iron heats up in the bedroom, little girl sitting on stool next to the window of a yellow curtain
153,a pair of yellow and green motorcylces with flame designs running down them,a yellow motorcycle and a green motorcycle behind some chairs, a yellow and yellow car with a yellow arrow on it
154,two little girls in tennis uniforms standing next to a scooter,two young girls on a tennis court with a racquet and a scooter, two young girls in a swing one with a helmet and a helmet on the sidewalk
155,two giraffes are standing together outside near a wall,two giraffes with the backs turned to the camera next to a wall, two bears next to each other on a bench next to a body of water
156,a bus that is driving through the rain,a bus driving on a rain covered street, a taxi driving on a city street
157,a man in a tennis match holding his racket,a tennis player is standing on a tennis court with a racquet in his hand, a tennis player is standing on a court with a tennis racket in his hand
158,a workplace break room kitchenette with refrigerator two microwave ovens a toaster and sink,a break room kitchen is shown with two microwaves, a kitchen table is mixing something
159,a woman selling raw carrots at an outdoor market,a woman has an apron and head scarf while touching carrots at a produce market, a woman with a ponytail and gray shirt sells vegetables and vegetables at an outdoor market
160,a flock of seagulls flying over the water together,a picture of some birds are flying around in the air, a large group of birds flying on top of a body of water
161,a woman is standig on the pavement looking,a red fire hydrant is on the brick sidewalk, a woman with a purse is standing on the sidewalk looking
162,a cream colored bathroom is clean and empty,a clean bathroom with sink toilet and bathtub, a window washer with soapy and clear windows
163,a woman that is standing on a snowboard in the snow,a woman in a pink jacket and printed pants snowboarding, a woman in a green jacket stands atop a snowy mountain
164,many people attend the ski event dressed in warm clothing,a group of people including small children wearing ski equipment standing in the snow, a group of people dressed in colorful clothing and wearing a black vest are skiing
165,a boy is standing next to a red ball outside,a young boy on a soccer field standing in front of a ball, a boy with a baseball standing on top of a soccer field
166,a horse and rider jumping over a bar on a track,a horseback rider competing in an obstacle course event, a jockey jumping an obstacle ramp in an arena
167,purple and blue building which has an atm inside,a large window with a sign that reads atm inside, a large building with a lot of different ethnicities sitting on
168,a powered on computer monitor sitting on a office desk,a computer is sitting on a computer desk, a computer is sitting on a computer
169,a baseball player pitching a baseball on a field,pitcher in the baseball game getting ready to throw the ball, baseball player in the middle of the pitchers mound at the pitchers
170,airline employees by an aircraft parked at the gate,the plane is parked at the gate at the airport terminal, the airport is parked at the airport at the airport
171,a person standing on a skateboard on top of a ramp,a person on a skateboard is balancing on the edge of a ramp, a person on a skateboard is jumping over the ramp
172,a wooden cutting board filled with chopped vegetables,a cutting board and knife with chopped carrots celery and onion, a cutting board with scissors and onions onions onions onions
173,a little dog sitting on the roof of a club cab truck,a dog that is standing on top of a truck, a dog sits on the roof of a truck
174,a man intensely looking while holding a tennis racquet,a man on a tennis court holding his racket and waiting, a man on a tennis court holding his racket and racket
175,a family standing next to each other while holding frisbees,three adults and a child stand together holding frisbees, two friends are standing holding each other outside
176,a bath room sink with large mirror,a bathroom sink with a towel rack hair dryer and a mirror, a bathtub sink with a sink sink and dishes with a white cup
177,a cat s image is blurred as he tumbles in a bowl near a food scale and pen and paper on a table,a kitten climbing out of a blue bowl, an animal out of a bowl
178,a black and white image of an old person sitting on a bench,a person with a cane and a roller bag sitting on a bench, a person with a ponytail and a beard sitting on a bench
179,two stuffed animals posed together in black and white,two stuffed animals posed together in black and white, two rabbits greet together in white fur
180,a dog peeks out from the backpack of a man at the airport,man starting to climb steps with dog s head sticking out of backpack, man looking out from window while he looks at an animal that looks like it
181,a loan bike sits by itself on a dirt road on a bend in a wooded area,a motorcycle is parked on a gravel road in a forest by a stream, a bike is parked on a road near a forest
182,a man on a bicycle watching someone on stage,a girl is onstage singing while the guest on the bike enjoys himself, a man is videotaping someone while riding the bicycle on the streets
183,a lot of food that are in some baskets,fruits and vegetables are being sold in a market, vegetables and vegetables are being sold in a cart
184,a man is holding a bat at a baseball game,a batter that is trying to bunt a ball with his bat, a guy who is just hit an object on the baseball diamond
185,a woman standing in front of a box handing a woman a bag of food,a woman wearing plastic gloves handing out fruit slices from behind a table, a woman holding an item handing out fliers out behind her
186,a man has a checked shirt and striped tie,a man wearing a shirt and a pixilated looking neck tie, a man wearing a shirt and a tie tie is pointing
187,plates of food with onion rings and cheesecake and a cup of cocoa on a table,several plates of food and a cup of coffee on a table, food has been used on a table
188,there is a small pizza that is on a white plate,a vegetable pizza on a plate on a table, a plate rolls on a plate
189,a herd of cattle walking down a street near lush green trees,a herd of cattle crossing the street while cars wait behind them, a pack of camels travel down the street while people walk along
190,a group of people with one person holding up a huge different color umbrella,a woman with a large umbrella in a busy square, a group of people with a large umbrella
191,two zebra standing next to each other in a dry grass field,two zebras roaming through the terrain in a countryside setting, two golden retrievers stand in the grass
192,two giraffes and several other large animals roam a tropical zoo paddock,two giraffes looking at the other animals in the enclosure, two rabbits looking at the pigeons in the park
193,a sheep standing in grass next to a rock wall,a sheep that is standing in a field, a cow stands in a field
194,a grassy hill side with some animals in the distance,a lush green valley surrounded by tall mountains, a grassy hill with trees being chased
195,a dog standing on the back of a brown car,a dog wearing a bandanna and sitting on the trunk of a car, a dog wearing a harness stands on top of the car
196,there is a sign in front of a brick house,a black white and red sign grass and a building, a red sign and blue signs are outside
197,the bathroom has a wall sink medicine cabinet toothbrush holder and bare walls,the bathroom door is open with the light on, the sink is inside of the bathroom
198,a plate of food being heated in a microwave,food is cooking inside of a microwave oven, food is cooking in front of a television
199,living room area of home with wood flooring and fireplace,a living room with a fireplace and glass slider doors, a living room with a house and wood floor
200,a pile of food sitting on top of a table next to a glass of wine,several slices of meat are on top of a pizza, food can be eaten
201,an open door showing a shower with the curtain closed,a bathroom with a toilet and a blue striped shower curtain, a glass with a jar of water and a glass glass
202,three teenage girls hover under an umbrella while they talk and laugh,three young women smile brightly together under a large umbrella, three young girls sit together under a large umbrella
203,two horses standing around n a field near a brick building,horses are standing in a field outside of a crumbling castle, horses are standing in a field near a fence
204,a bathroom with a big mirror above the sink,interior bathroom shot of a glass shower and white sink fixtures, closeup of an eyedropper of glass and a glass mirror mirror
205,a woman and child are about to cut a cake,a woman holding a knife about to cut some cake, a woman holding a cake about to cut some cake
206,a couple of people that are playing in a field,two people in shorts are playing with tennis rackets on a grassy field, two people in winter clothes are playing soccer while a crowd watches
207,a baseball team all huddled together on the baseball field,a baseball team crowd together on the field, a baseball team huddled on the field
208,a opened peeld banana half way eatened,a woman s hand holding a half peeled banana with a large bite out of it, a woman with a red shirt feeds an item from a bowl full of fruit
209,a statue us standing in some green grass,a woman statue holding a pitcher and basket in a garden, a crowd standing under a tree lined with trees
210,two men in blazers and fedoras with a moped in the background,two men who are wearing suits and hats standing next to each other, two men wearing black and black are seated and leaning against a motorcycle
211,a yellow dog runs to grab a yellow frisbee in the grass,a dog in the grass catching a frisbee, a dog in the grass chasing a toy
212,a zebra print futon with red cushions in a student s room,a bedroom done in animal prints with red and black pillows, a mouse with braids in pink and white coloring
213,people stand around an antique motorcycle in a grassy area,a motorcycle parked in front of a crowd of people, a crowd of people standing in front of a motorcycle
214,a family outside in a yard playing frisbee with their dog,a man is playing catch with two children and a dog, a group of people play and play with a dog and a frisbee
215,two little boys holding cell phones in their hands,a couple of kids in yellow shirts are sitting together, two little boys are in front of an electronic phone
216,a large tower that has a big clock at top,a clock tower on top of a tall historic building, a crane tower on top of a large clock clock
217,an umbrella is placed outside of a shop,a bench outdoors with an open umbrella, a sign outdoors under an umbrella
218,a couple of giraffe standing in a building,a couple of giraffe standing next to each other, a couple standing next to a christmas statue on the sidewalk
219,a man with dark hair a shirt and a tie posing for a picture,a man poses for a picture against a brick wall, a man poses for a picture with a camera
220,giraffe and zebra grazing in a field next to plants,a group of zebras and giraffes by a water hole, a dog chases from a large grassy field
221,two airplanes are parked on the landing strip,one white and red plane and one grey plane on the ground, two white and white cars stand on the side of a racetrack
222,a paddle boarder on a large still body of water,a man with a wet suit on standing on a surfboard in the water, a man with a paddle on his head in front of a lake
223,a woman holding a red and white umbrella while standing in a cave,woman in high heels in a crumbling room, woman in front of a waterfall
224,a dirty public restroom with sinks and mirrors,there are several sinks and soap dispensers in the bathroom, there are no dishes and toilet windows
225,long line of motorcycles near the edge of a building,a huge group of motor cycles sitting on the street, a line of motorcycles parked past a building
226,a brown horse in the field gazing around,a horse standing in the dirt near a fence, a brown horse in front of something
227,many bicyclists are gathering at the taco truck,very well decorated and fruits in a very big box, many of bicyclists wait for a large truck
228,a man with skis and poles is on snow,a male with a purple jacket on skies posing for a picture, a male with a ski helmet on skis over a snow
229,two elephants walking around the center ring of a circus,the elephants are about to leave the ring, two clowns on the back of a lion ride down the street
230,a banana and a chocolate frosted donut sitting in a baggie,a banana and donut in the same plastic bag, a cookie with pretzels in the back of a box
231,a gang of bikers driving down a busy city street,most people negotiate the city streets with motorbikes in this asian city, many men ride the streets with motorcycles driving through the city
232,a man with thick black glasses eats a hotdog,a man who is putting a hot dog in his mouth, a man with a black beard is eating at a hotdog
233,a black and white cow with horns in front of a woodpile,a cow with a bell around its neck standing near a wood pile, a cow with a rope around its neck stands near a fence
234,palm trees are in the foreground of a picture with a clock tower standing above them,a tall clock tower with bushes and trees in the foreground, a tower surrounded by buildings and trees
235,a bed room with a neatly made bed,a bedroom with big bed and a chair by the window, a bed with two bed bed with a bed bed
236,white show horses and handlers performing during public event,a couple of horses in what appears to be a circus, a group of horses and riders in the ring
237,the statue on the bench is reading a large newspaper,a statue of a man reading on a park bench, a tourist looking at a man sitting on a bench
238,men lined up an a runway in a desert greet an arriving jet plane,people lined up near an airplane and others in military uniform, men hanging out an airplane with people watching in background
239,a bunch of vegetables cooking in a pot,a pan filled with celery onions and carrots, a pot filled with vegetables and vegetables
240,a night scene with silhouettes of buildings and some traffic lights over a street,a stoplight that is flashing green lights at cars, a rainbow s city is lit up at night
241,a man wearing a white tshirt hits a tennis ball,a man on a court with a tennis racket, a man on a tennis court
242,a hand holding a smart phone with apps on a screen,a person s hand holding up an active smartphone, a man is talking on an electronic device
243,a blue and white train traveling down tracks near a building,an amtrak train sitting on the train track, an escalator train parked on the train tracks
244,this girl is laying on the bed reading,a woman is laying in bed reading a book, a girl is laying in bed reading a book
245,a black and white cat sitting on top of a wooden chair,a white and gray cat sitting on a wooden bench, a white and white cat sitting on a chair
246,a congested road where different vehicles are running,van drives by a bus sitting at the curb, road road a racetrack with cars parked on the track
247,a pork chop some green beans on a white plate and a fork,a fork a pork chop green beans an egg and parsley on a white plate, a butcher cuts a half cut cut while wearing a white apron
248,the old dilapidated bathroom has fallen into disrepair,a dirty public restroom with sinks and mirrors, a bed with glassblower laying out of a house
249,a man and a woman standing in the snow on skis,a man and woman in ski gear standing in front of a mountain, a man and woman standing in snow looking at a mountain
250,two small clocks sit behind a glass window,looking through a window at a small clock and a large one, inside a window of a small display of a small window
251,i am unable to see an image above,a man sits on the couch and is on laptop and phone, a man sits on the ground and looks up at something
252,two men one getting ready to throw a freebie,this is an image of a man trowing a frisbee, one man is throwing a ball during a game
253,a train rides on a bridge past a building,a subway train that is passing over a train bridge, a tour train is passing up a gate of buildings
254,a close up of the silver watch in front of a computer monitor,the mans wrist watch is laying on the table, the computer monitor sits next to the computer
255,a person playing a game of tennis with a racket,a person on a tennis court standing on one leg, a person on a tennis court playing tennis
256,a couple of elephants are walking around in the dirt,an elephant trying to reach something on the ground with his trunk, two camels walk down on some dirt with the mountains in the background
257,a giraffe is walking in some tall grass,a giraffe stands in the brush near trees, a beagle walks in the grass near trees
258,all of the umbrellas are folded up,all umbrellas are closed at he tables outside the hotel, umbrellas are lined up in the umbrellas waiting for the day
259,a group of boys are running around playing little league,a bunch of little boys running around on a baseball field, a bunch of boys play soccer outside on a field
260,an incredible picture of an individual in the stillness movement,a young man is skateboarding on a wall and holding onto a bar, a young man is walking on a sidewalk and looking down
261,a young woman in pink leggings playing tennis,a woman hitting a tennis ball with a tennis racquet, a woman with a ponytail playing tennis with a tennis racket
