,source,target,sampled
22,a stop sign that is hanging upside down,a stop sign put upside down on a metal pole, a sign hangs upside down on a pole while people stand
23,the enveloping of an outside town in the picture,a barge floating down a river with the skyline in the background, a director indicates displayed on a city street in the daytime
24,adult man wearing bathrobe in bed while eating plate of food,man laying in bed eating a piece of toast, man eating food in a public kitchen while a woman watches
25,a woman and a man playing a video game in the living room,two people sitting down playing a video game, two people playing video games in a living room
26,a skateboarder does a jump trick over stairs,the man jumps over the steps while on his skateboard, the skateboarder jumps on the stairs while jumping over a ramp
27,two men sitting under an umbrella on the sidewalk,a couple of people under a large umbrella, a couple of people under a large umbrella
28,a black and white photo of a group of kids,a group of children standing next to each other, a group of children stand on steps with children
29,a young man on a skate board riding a ramp,a young man is doing tricks on his skateboard, a young man is riding on the ramp
30,two giraffes standing around in the middle of a field,two giraffes standing in a dry landscape gaze to the side, two rabbits standing in a grassy field next to a field of grass
31,a woman sits behind a case of pastries,a woman staring and some do nuts in a plate, a woman sits behind some types of bread
32,a blue bike parked on a side walk,a bike sits parked next to a street, a bike parked past two buildings
33,a parade of motorcycles is going through a group of tall trees,a group of motorcyclists drive down a tree lined street, a parade rides down a city street while spectators
34,a man riding a wave on top of a surfboard,a surfer riding the inside of the curve of a wave, a surfer riding in the ocean as the waves is in the ocean
35,two women sitting outside hanging out and smoking cigarettes,two girls sitting outisde smoking and one girl on a laptop, two women smoking cigarettes while sitting on a curb
36,a tabby cat siting on an orange chair,a cat sitting in an orange chair in a bedroom, an animal sits in a chair with a white cat
37,a television is on a tv stand next to a bureau,a photo of someone watching tv with their dog, a television with his computer sits on a tv computer
38,a man on a skateboard with a dog outside,a person riding a skate board with a dog following beside, a man riding a skateboard with a dog jumping over a fence
39,a man raising a foot over a brief case,a person standing on cement lift his leg over a brief case, a man in blue shirt bending over his shoulder
40,a little boy is being held on a lap while eating,a woman is holding a baby with another young boy beside her, a boy is holding a small child with his mouth while eating
41,a little boy sitting on a skateboard and riding it,a black and white picture of a little boy and girl, a young boy is riding on a skateboard and a small boy
42,a horse standing in the grass in a fenced in area,a horse grazing the field with a fence surrounding it, a horse bucks stands in a grassy field
43,a tow truck pulls a large crate down a mountain pass as crowds watch,a crowd of people walking along a snow covered mountain side, a truck pulls in a wagon filled with people sitting down
44,a dog is chewing on a soccer ball,a dog chewing on top of a large white ball, a dog chews on green grass in a field
45,a bed set up on the wooden floor of a large wooden house,a large room with wooden floors and a bookshelf, a small house with furniture
46,a bowl of bananas next to a bowl of apples on a counter,a bowl of bananas and a bowl of apples in a kitchen, an animal and a bowl of different kinds
47,two people in a wooden boat with sails on some water,some people who are riding on a sail boat, some people are sitting down on a boat
48,a close up of an the front of an amtrak train,a blue and white train traveling down tracks near a building, a red and blue train parked around near a racetrack
49,bunch of people sitting in the back of a dump truck,there are man lining the sides of the dumb truck, there are 5 men seated on the back of a truck
50,a kitchen filled with metal appliances and a window,an empty clean kitchen with cabinetry stove and dishwasher, an open kitchen filled decorated with microwave cream and stove
51,a dining room has a dining table and chairs wall tapestry and bar cart,a table that has a vase on it near a blanket hanging on a wall, a table has been arranged on a table near a table filled with chairs
52,a bus traveling down the street in front of a large building with a clock tower,a car and a bus at an intersection in front of a historical looking building, a bus with a lot of people sitting on a bus in front of a building
53,the living room is spacious and clean with hardwood floors and seating on leather sofas,a living room with brown leather furniture and a red wall, the living room has a long messy white couch
54,a man taking a picture of himself in the rear view mirror,a man taking a picture in a side car mirror with his cell phone, a man taking a picture of another man sitting in the mirror
55,a close up of a polar bear on a rock formation,a polar bear standing on a large rock with its mouth wide open, an animal is perched on a large rock formation with a large rock face
56,street signs from the corner of 8th ave and 22 3 4 st,a street sign is pointing towards 8th avenue and the other is pointing towards 22 3 4 street in the middle of the forest, there is a street scene that sells signs and signs that say s on the floor and factory in the background
57,a display case of three different wooden combs,some large wooden forks and other items on display, the handle two different different colored jar and necklaces
58,a laptop computer sitting on top of a lego desk,a number of lego toys near a laptop, a laptop computer by a computer with a laptop
59,a baseball player pitching a baseball on a field,pitcher in the baseball game getting ready to throw the ball, baseball player in the middle of the pitchers mound getting ready to throw
60,a woman stands next to a traffic light,a woman stands next to a lamp post with a street light on it, a woman stands next to a tall orange car with a bright light
61,a bunch of bikes are lined up on a curb,a row of motorcycles parked on the side of a street, a line of motorcycles parked on the side of a street
62,a bird sits on a seed filled bird feeder,a bird feeder that is attached to a tree, a bird sits next to a large bird
63,a boy swings his bat at a baseball game as people watch on the bleachers behind him,a young boy holding a bat at a baseball game, a young boy playing a game of baseball
64,a woman is looking at a cell phone,a women with several piercings looking at her cell phone, a female with an orange scarf looking at her cellphone in a busy city
65,a person taking a photo in a bath room mirror,someone sitting on the toilet in the bathroom holding their camera at the mirror, someone standing on the floor taking pictures in the mirror with the mirror
66,a man holding a piece of food by a string,two men getting food at an outside restaurant, man making a pot of food outside
67,a close up of a clear vase with flowers,clear vase filled with white and yellow flowers with water, an aspirin added with red and white flowers and a man standing behind a couple
68,a couple holding a knife and cutting their wedding cake together,a happy couple is cutting a decorated cake, a married couple is cutting a cake cake
69,a large brick tower with a clock on top,a tower building with a clock up high, an outdoor building is above above a tower
70,a baby who is being held by a man,woman carrying cake near man holding baby at outdoor celebration, man holding baby crying for man at home event
71,red and white train at the end of a train station,a red and white train near a terminal in a city setting, a train in a train station by a train station
72,two men standing in a living room with remotes,two men standing in a living room playing games, two men standing in a room playing video games
73,a brown bear walking across a forest surrounded by trees,a bear is running around in a dirt field, a brown dog is walking outside in a wooded area
74,a man covered in blood trying to destroy a fire hydrant,a fire hydrgon that a man is grabing, a fire worker is burning a fire
75,a wet dog standing on a beach next to the ocean,a dog enjoying playing on the beach in the sun, a dog waiting on the beach in the water
76,two giraffe stand in an enclosure on giraffe leans over the wall,two giraffes in a zoo enjoy a walk and a snack, an infant on a giraffe by a statue of a dog
77,a young woman with a beaded necklace and white shirt,a woman smiling and posing for a picture, a woman with blond hair holding on a necklace
78,a small bathroom has an army green toilet,a toilet stall with exposed pipes and a window, a newborn shower with soap suds on a floor
79,a single person riding a big wave with a surfboard,the surfers is surfing against a high wave, one surfer riding a red and white surfboard on the beach
80,three computers without screens sit on a desk,a computer desk is filled with laptop computers, three desk are seated with two monitors computers
81,a homemade pizza sits on a metal sheet,a home made pizza with pepperoni and sausage, a pizza for pizzas with its name sits
82,a group of people crossing a street next to a bend traffic light,a light post leans towards a crowd on a busy city street, a crowd crosses to cross a street crossing a busy street
83,a bathroom with gray painted walls and white tile near the bathtub,a door opens to a plain white bathroom, an image of dishes is dirty
84,a red fire hydrant on a red bricked sidewalk,a hydrant is shown on the side of the walkway, a hose is on the sidewalk of the station
85,an orange and white cat is laying next to a keyboard and some wires,a cat laying on the floor amidst a computer speakers cords, an animal sits on the keyboard next to a wooden fence
86,an animal curled into a ball takes a nap,a cold dog curled up and going to sleep, a brown dog trying to catch up to catch
87,a small dog is laying on a couch with a shoe,boston terrier sitting on a couch with a shoe, little dog sitting on a couch playing a guitar
88,a man swinging a tennis racquet at a ball on a court,a tennis player is playing tennis while a crowd watches, a man is swinging while playing a tennis racket
89,two men using nintendo wii remotes to play a game,two men playing with a video game system, two men playing a game of video games
90,a man with a hat is on a horse by a dry lake,a person is riding a horse by the water, a person is riding a horse
91,a young man stands inside with an umbrella pouring rain,a man standing in a hallway with an umbrella and rain coming down, a man standing in a rain covered with rain and holding a umbrella
92,a group of people standing in a large building,buses lined up letting people aboard them, crowd of gathered gathered gathered outside of a building
93,people are walking and riding motorcycles on the street,a bunch of bikers are gathered on a city street, a lot of motorcycles are traveling through a city
94,a bear laying in a canvas type net,a large bear laying down on a leather hammock, a brown dog lays down on a branch
95,two stunt airplanes touching their wings as the fly,a picture of an open air zone that looks incredible, two people flying through a air shaped parachute of the air
96,a bear on grass near small trees,a bear walking in the woods near several trees, a squirrel in front of trees near a wooded area
97,two stuffed teddy bears sitting on a wooden chair in a yard,two stuffed animals in a wooden outdoor chair, two rabbits sitting in a small chair
98,a man in a hat leaning against a pole,an old man walking down a sidewalk in black and white, an old man standing next to a red pole in the street
99,a ferry the is pulling into the dock for off loading,the large boat in the water is docked by the buildings, the boat in the water is being loaded
100,a kitchen with a sink and cabinets inside of it,a kitchen interior with olive green wooden cabinets, a kitchen with an empty kitchen and stove
101,a traffic motorcycle cop waits to give a ticket,a police officer is outside on his bike, a policeman on a motorcycle waiting to stop
102,a brown teddy bear and some wooden block toys,teddy bear holding a hammer in front of block set, stuffed animal with a toy toy toy on it
103,a very cute toilet decorated with green woodlands style,a toilet with an unusual green seat and back, a smiling baby with a flower and green flower
104,a toddler in the bathroom brushing his teeth,a young child brushing his teeth in the bathroom, a young boy brushing his teeth in the bathroom
105,an empty toilet stall with two rolls of used toilet paper and one full roll,two empty toilet paper roll holders hang in the stall while the empties lay around and a nice roll sets on the bar, an empty kitchen floor rolls down the floor while two women filling out dough into the dishwasher
106,a woman siting at a restaurant table with a plate of mexican food on it,a woman in a red shirt sitting at a table, the woman is outside a restaurant
107,two plastic containers sitting on top of a wooden table,two dishes of food and several blue arrows, two pieces of different colored sitting in chairs
108,two people riding surf boards on a wave,two surfers are riding a wave on their surf boards, two surfers are riding a wave on the ocean during the ocean
109,a cheeseburger is topped with a glazed doughnut,a hamburger stuffed with fillings but a glazed doughnut in place of the top bun, a chief beater with an apron displaying baked from a large bowl of food
110,three skiers climb up a snow covered hill,several people traveling up a hill wearing snow gear, three skiers climbing up a snow covered hill
111,suitcases on top of a carrier onto of a vehicle,a crate on top of a car holding various luggage, two luggage on the street of an orange vw
112,a yellow rose in a clear vase filled with water,a beautiful yellow rose is seen in a small vase, an orange and a yellow pattern are shown in the water
113,a young girl flies a kite in the grass by the water,a person playing with a kite near the beach, a person playing with some kids
114,a woman holding a large knife next to another lady cutting pizza,a person cuts a pizza while another holds a pizza peel, a woman with a knife knife while another woman is being frisked
115,a street scene take from a car looking toward an intersection at dusk,a car waiting at a stop light at sunset, a car driving through a open open street at night
116,a sign is shown on the side of a road,a fake stop sign that is in the grass, a sign signs that say is in the street
117,this kitchen has a black stove stainless steel refrigerator and white cupboards,a small kitchen with stainless steel appliances and white cupboards, a kitchen with kitchen utensils and a spoon of soup
118,a street sign with flags on it and a building in the background,a green pole with street signs attached to it, a street sign with flags lining down
119,a middle aged man takes a selfie in a mirror,a man taking a picture of himself in a mirror, a man taking a picture of himself in a mirror
120,a dining table has a large pizza and wine glasses,a pizza served on a white plate next to empty wine glass and beer, a table full of food with a white tablecloth hanging out on it
121,people are walking in the rain holding umbrellas,several plaid and red umbrellas opened on a dreary day, an umbrella and rain weather are walking
122,pair of small planes flying near each other on stormy day,two planes that are flying in the sky, two skydivers have red and yellow are in the sky
123,the horse stands attached to an empty carriage,a horse carriage is sitting idly in the dessert, a horse rider is standing beside a carriage
124,a man in a baseball uniform holding a bat,a man prepares to swing his bat while another man looks at him on the baseball field, a baseball player prepares to hit his baseball while standing on the sidelines of a baseball game
125,a man sitting on a train next to a woman,a man and woman are sitting together while the man eats with chopsticks, a woman wearing white sits next to the train with her daughter and a young man in the background
126,a red stop sign sitting on the side of a dark road,a stop sign on the side of a street, a sign near the side of the street
127,a skateboarder careening off concrete in a park,a man is grinding a ramp on a skateboard, a boy is skateboarding on a four wheeler
128,a vase of white flowers sitting on a window sill,a vase with white flowers sitting next to an open window, a vase with white flowers sitting on a ledge with graffiti on it
129,young male preparing to throw a white plastic frisbee,a boy preparing to throw a frisbee outside, a boy preparing to throw a frisbee outside
130,a mother and baby zebra grazing on grass,two zebras graze in a field of short grass, an elderly woman lies in a field of grass
131,a person riding skis down a snow covered slope past a flag,a man skiing down the mountain slope on skis, a skier skiing down the street on skis
132,a game at an outdoor fair called ball in the bog,there is an old toilet sitting under a sign for this picture, there is an outdoor ball where a player in a green jersey and black pants
133,a man is flying a kite at the beach,a guys stands in the sand playing with a kite, a kite flies in the sky with trees
134,a christmas tree with lights and teddy bear,a teddy bear handing on a lit christmas tree, an elephant opening christmas presents
135,a person practices batting during a baseball game,a baseball player holding a baseball bat during a game, a baseball player playing a baseball game during a baseball game
136,a bathroom area with a sink and tiled counter top,a bathroom with a tiled counter a sink and a soap dispenser, a kitchen with a sink a sink and a man wearing a teal shirt looks out
137,a crowded airport filled with people carrying luggage,an airport terminal with many people carrying their luggage, many people crowded with their luggage bags
138,a group of people on a tennis court,a group of men talk on a tennis court, a group of people watching tennis in a court
139,a surfer in the ocean trying not to wipeout,a man in a wet suit riding a surfboard on a wave, a surfer in a red shirt surfing in a wave
140,seven business people eating and talking around a dining table,a group of people sit at a table eating, a group of people sit at a table outside
141,someone sitting on their bed looking at their laptop,a person laying on a bed in front of a laptop, a person sitting on a desk in front of a laptop
142,a living area with a bed chair and window,a bed and chair sitting next to a window in a bedroom, a bed and living bed sits in a bed of furniture
143,a man sitting at a picnic table using a computer shaded by an umbrella,the man with glasses is holding an umbrella and sitting at a picnic table, man with glasses and a hat sitting in a park chair at an arcade table
144,plates that have a burger french fries and condiments on them,a place setting including a burger fries a glass and condiments, a food display with a spoon of soup on it
145,a glass with a lady bunched up holding her legs and head tilted with a with candle on the side and lights in the background,a glass vase is beside a white candle, a lady holds a glass glass
146,a container holds apples a banana snap peas and triangle finger foods,two containers containing quiche a salad apples and a banana on the side, an empty fruit filled fruit is filled with a plate
147,a woman holding a small girl with sun glasses on her head,a smiling young mother holding her infant child, a blond woman sharing her daughter smiling
148,a boat that is sitting near a pier,a harbor with several boats docked and buildings in the background, a boat with cargo sails and an old man in a blue shirt and tan shorts
149,an elephant scratching it s neck on a post,an elephant leans against a post in a fenced area, an elephant perched on a post in a rodent s
150,people climbing up the snowy mountain side on skis,a person is going up a snow covered mountain, a person is going up a snow covered mountain
151,crackers with spread on table with remote in background,square pastries are assorted on a white platter, food table are stacked up
152,a man holding his face up to a tv with a video game on display,an image of a guy making a video game character, an older man at a video is making video games
153,a guy is skateboarding through cones on a street,a skateboard going around cones in a skateboard competition, a guy on skateboards grinding around a city street
154,baby bear climbing large rock near pine tree,a bear cub struggles to scale a boulder, a baby baby toddler limbs from a tree
155,tennis player on court holding racket with hand on hip,a tennis player is playing in a match, a tennis player is playing a game
156,a yacht with people is near a pier on clear water,a group of people mingle on a yacht beside the coast, a boat with a crowd of people sailing on the pier
157,reading materials are stowed above a zebra themed bed for relaxation,a bedroom done in animal prints with red and black pillows, a bed for nap in front of a white bed with stuffed animals
158,a group of people throwing around a freez be,five guys with a white frisbee in mid air, several people with large red water throwing a stick
159,a man and a woman are holding video game controllers,two people are playing on a wii in a house, two people playing a game on a tv in a room
160,the two woman are eating donuts outside,two girls posing with doughnuts with bites out of them, two women eating popcorn with baked with prices in front of them
161,a child places his hands on the head and neck of a sheep while another sheep looks at his face,a child is petting a sheep while another sheep watches, a child is petting a goat while others
162,a smiling young woman posing with a sleek brown horse,a pretty young woman is posing with her horse, a young woman is posing with her horse
163,a bathroom that is under construction with a standing shower,a rundown bathroom is being stripped and remodeled, a glassblower takes a bath from glass doors
164,a horse walking in a field with trees in the background,a horse that is walking around a field, a horse through a field of trees
165,a person sitting in a chair wearing a suit and tie,a man dressed with a tie sits in a chair, a man seated in a chair wearing a tie
166,a picture taken from a distance of people riding horses at the beach,a distant shot of people riding horses on the beach, a photo taken of people riding camels on the beach
167,someone is sitting at a table with pizza and other food on it,a table with a plate of pizza and a plate of shrimp on it, a waiter with a red and white shirt sits at a table with food
168,a cow standing outside of a white building with a blue entrance,a cow stands on a sidewalk outside a building, a cow stands on a brick building
169,a bear sleeps in a hammock made of heavy canvas,a large bear laying down on a leather hammock, a large sleeping animal lays on top of a rock
170,an adult and two baby elephants standing near a fence,a big elephant is being followed by two little elephants, a few adult is being petting two old horses
171,three good friends are having a good time playing a game,a woman watching two people play a wii game with wii motes, three friends play a game together for a good time together
172,a surfer that has fallen off of his surf board,a surfer takes a spill on a small wave, a surfer caught a wave into a large body of water
173,a calico cat laying on the hood of a mercedes,a calico cat sits on the hood of a black car, a cat cat tabby on the side of a car
174,this is a bed with a blanket on it,an unmade bed next to a sunny window, an infant lays over a bed on a bed
175,a man in uniform riding a horse by a fence,person in red peacoat and hat riding a horse, man in uniform riding a horse horse in front of a fence
176,a dairy cow suffering in confinement hooked up to a milking machine,a dairy cow is being milked by machine, a farm farm is being pulled by a cow
177,a man acting like he s going to put his dog in an oven,a person standing in front of an open oven, a person standing in front of an oven
178,a large group of animals standing in a large grassy field,a herd of cattle grazing in a field, a crowd gathers of a field of grass
179,a bottle of beer sits next to the keyboard and mouse at the computer table,a blue moon beer is sitting on a desk along with a computer monitor keyboard mouse computer and speaker, a brown haired man is sitting on a couch playing an electronic game with keyboard keyboards and harmonica
180,a kite that someone is flying over a beach,a kite flies over flags posted on a windy beach, a kite flies over rocks near a lake on a sunny day
181,a group of people playing with interactive gaming units,some people are looking at different television sets, some people are playing video games and violins
182,a person playing frisbee on a field in sport wear,a young man holding a frisbee in his hand while standing on a field, a young man with a baseball cap and shirt playing on a field
183,an adult and two baby elephants standing near a fence,an adult giraffe standing next to a small elephant, an adult couple kneeling next to a small wooden gate
184,a wax head is looking out of a car window,a car covered in dolls and doll parts with people in the background, a window looks in mirror with window and hood in the window
185,a man skiing on top of a pipe,a skier approaches a red bar stuck into the snow on a snowy hill, a shirtless man dressed in a red hard hat on a steep cliff in the desert
186,pair of small planes flying near each other on stormy day,two airplanes are flying in the cloudy sky, two parachutes are flying in the sky
187,a train is entering its stop with people waiting for it,a train car pulls into a train station where travelers wait nearby, a train station is waiting for passengers waiting for a train
188,a clock on a pole on a sidewalk,a street clock that has been weathered to a mint green color, a yellow balloon has been hung to be seen on a sidewalk
189,a mother sheep and a baby sheep pictured here,a couple of goats out in the snow, a mom and her pet in the open
190,a yellow train pulling into the train station,a yellow passenger train pulling up to a station, a yellow train train stopped to train
191,there is a clock that is on display in the city,there is a large clock in the foreground and a large building in the background, there is a building with the movie clock in a city
192,kitchen with many old appliances and many pots and pans,the kitchen features an old fashioned center island, old kitchen with large vegetables onions onions
193,a view of a kitchen with cabinets a sink and a clothes washer,a empty laundry room with lot of storage space, a kitchen sink with dishes and dishes
194,a camera and tripod is shown with a laptop,camera equipment is set up in a room with vending machines in the background, someone looking at two cameras is broken in an open frame frame
195,there is an empty tiled bathroom with two sinks and two mirrors,this is a commercial bathroom with orange and gray mosaic tiles and three sinks, an older couple is inside of an aquarium and one of them washes the floor windows
196,a red stop sign behind a chain link fence,the stop sign is behind the fence instead of on the street, something on the sign is closed lined with red and white signs
197,a room with two sofas and a fireplace,a comfortable living room with brown leather couches and a fireplace, a table filled with wood and two tables with a man sitting
198,the people are selecting their donuts at the counter,an attendant in a doughnut shop waiting on customers, customers are putting out an item
199,a statue of a large brown bear tearing off a cars door,a man poses with a picture of a bear and a car, a statue flies a car with a hood and a car
200,a yellow traffic light hanging off the side of a pole,a picture of a street light and sign showing the street names, a yellow object is over the street and metal
201,a boy standing on skis in the snow,a little kid that is snowboarding in the snow, a little boy is bundled in winter gear
202,a bed with stacked pillows is in a bedroom with a chair,a living area with a bed chair and window, a bed with a bed and bed in bed
203,a street car filled with people is stopped on a bridge,a horse walking on a small platform in front of a group of people, cars are driving by a car
204,a kitchen with lots of cupboard space and a microwave oven,the decor in this house is out of date, the kitchen in front of the kitchen is cooked
205,a child in a hat playing on a laptop computer,cute little boy with hat playing on laptop computer, kid with glasses and a laptop sitting on computer computer
206,a silver pan topped with pepperoni pizza on a table,four pans of pizza set on a long table, several different types of donuts on a table
207,man in red shirt and black pants standing next to white flatbed truck cab next to a set of new tires,a man in a red shirt sitting on the tire of a broken down truck, a man in white and white stands near a truck truck
208,two pizzas sitting in pie pans on top of a stove,a couple of pizzas are sat out on a table, a cook prepares to cook on a stove
209,a dog wearing a hat standing on some grass,a dog in a field looking up while wearing a hat, a dog in a red hat standing next to a fence
210,the horse is grazing in the back yard of this home,a horse is eating some grass next to a building and is surrounded by a fence, a horse with a white spot and its back down a field of grass and a house
211,a presenter projected on a large screen at a conference,people watching an on screen presentation of a gentleman in a suit, people sitting near a conference looking at menus
212,a vintage red tour bus parked on the side of the street,a bus that is parked along side a curb, a bus is parked along side a road
213,woman listening on her phone while smoking a cigarette,a woman is talking on her phone while dragging on a cigarette, a woman is smoking on her cellphone while talking on a cellphone
214,a green road sign showing the queens bronx exit,an green and white overhead street sign on interstate 278 for queens and bronx showing a truck restriction, there is a sign with signs hanging out on it that says we be a street scene
215,a city street with multiple bildings and a street light,a wide empty street corner filled with buildings, a busy city street lined with buildings
216,a person carrying a crate on their shoulder that is full of bananas,a woman carries a box of bananas down a crowded street, a man carries a stack of bananas in his hand
217,a metal pole covered in different street signs,various signs in two languages direct tourists in wales, several pole in pole suspended over a pole in front of a brick building
218,a baby elephant standing at the feet of its chained parent,a baby elephant stands near its mother, a baby cries near the american flag
219,the parking meter is decorated in different colors,a parking meter sitting on the sidewalk in front of a building, the traffic lights could be seen
220,a woman hitting a tennis ball with a tennis racquet,a woman hits the tennis ball during a match, a woman tennis player getting ready for a swing
221,a man in a yellow shirt and wetsuit surfing,a man surfing on a large wave in the ocean, a man surfing on a large wave in the ocean
222,a television screen is displayed in an empty bus,an empty bus has tartan seats and a wooden floor, a television television monitors are displayed with a projector screen
223,a stop sign on a sidewalk next to a street,an over head view of a stop sign, an ad on a sidewalk corner at a store
224,two men dressed in suits holding their cellphones,the men sit at a table with their phones in their hands, men taking their picture in a busy area with their phones
225,a few birds eating stuff off the ground,a bird is eating bread on the pavement, a bird is eating on the cob while others
226,a guy is skateboarding through cones on a street,a skateboarder weaving in and out of cones, a guy skateboarding up for traffic
227,a tennis player running to get to the ball,a woman reaching with her tennis racquet on a court, a tennis player about to hit an object
228,a woman holding an umbrella whiile standing by a counter,a woman and man talking underneath an umbrella, a woman holding onto a handbag standing beside a table
229,the toilet is covered in sparkles with a red object in front of it,a toilet covered in glitter sitting inside of a room, a window washer in water near an apartment
230,a laptop computer sitting on top of a desk,something knitted is lying on top of a laptop, computer desk is on top of a laptop
231,a group of people wading around a large body of water,four people swimming at the beach on a sunny day, several people wading in the water at a beach
232,a man gets ready to throw a frisbee in a park,a man is about to throw a frisbee in a grassy field, a man is about to throw a frisbee on a park
233,there is a living room with a wide open view,a living room with white furniture and a small wooden table, a living room with a living room in a white room and sitting
234,a computer laying upside down with two hands holding knives prying open a section of the back,two people are sticking knives into a laptop, a man sits next to a broken truck
235,a man puts a red bottle up to his mouth,a man drinking something from a red bottle, a man pouring something into a red cup
236,a double decker bus driving down the road,a double decker red white and purple bus, a damaged orange bus is driving
237,some cans sitting on the kitchen floor,a white refrigerator freezer sitting inside of a kitchen, a kitchen kitchen sits outdoors in a kitchen
238,a woman with a large umbrella in a busy square,a beautiful red haired woman holding a colorful umbrella, a large crowd of an asian woman
239,a young boy riding on top of a skateboard,a black and white picture of a little boy and girl, a young boy is on a skateboard and smiling
240,a lamb and a sheep are out in the field together,a ewe and her kid in a field, a sheepdog and two sheep in a field
241,a long subway with people in it is lit up,the subway station with bright lights and a subway coming through, people walking along a subway that has a large sign on it
242,several sailboats sit in the water in front of some trees,a large body of water with three boats floating on top of it, a large group of people sitting on some rocks near a body of water
243,three women sitting on a park bench next to each other,3 ladies sitting together on a bench in the park, 3 ladies sitting together on a bench in the park
244,a large blue bus is driving down a crowded street,a passenger bus that is driving down a street, a crowded bus down a busy street is crowded
245,a bath tub with a toilet beside it,the bathroom is clean and ready to be used, the tub is going to get cleaned
246,there is no image to describe for this question,people on a beach fly a kite near the water, people on a stage performing a show with guitars
247,wild animals standing in a forest next to a river,two horses stand on rocks near a river, many animals stand on rocks
248,a propeller plane that is flying in the sky,white and red biplane flying through the air, yellow and white flying flying through the sky
249,four dogs in a yard are playing with a frisbee,there were four dogs in the yard playing with a frisbee, there are four dogs playing in the yard
250,a woman standing in front of a cow explaining a milking machine to a group of people,a woman holding a milking attachment and standing in front of a cow with a group of people in the audience, a woman standing next to a trailer with a cow and a woman in front of it
251,a small clean bathroom that is well lit,the bathroom has a mirror and a tiled sink, small sink is in a clean room
252,a woman dressed up in a costume talking on a cell phone,a woman on a cell phone with a group of people, a woman with a microphone on a red and white dress
253,a large living room with a wall painted green,a very nice looking room with some nice windows, a large mirror made of art with many colors of the background
254,this is a commercial bathroom with orange and gray mosaic tiles and three sinks,a bathroom that features a bright tile wall and big mirrors, a glassblower with a purple vest and glasses is wiping the floor with a spoon
255,a left hand holding a glazed doughnut over a tiled floor,a person is holding a doughnut that has a bite taken out of it, a person is holding a frying pan to a kitchenaid bowl
256,two dogs on wearing something heavy around its neck run over the ground,two brown dogs walking in the field with their mouth open, two brown dogs running in the dirt with their mouths
257,man in dress shirt and orange tie standing inside a building,a male with a beard and orange tie, a male with a striped shirt
258,military personnel cutting up pieces of cake to be passed out,two people are cutting into a large cake, several people are cutting a large cake
259,a fire hydrant on a side walk in front of a building,a fire hydrant across from a red bricked building, a firefighter puts out a fire in the field
260,partially open door leading to a kitchen from a hallway,the bathroom door has three panels of frosted glass, there are hallway with no carpet
261,man sitting at a picnic table using a laptop shaded by an umbrella,a man sitting at a picnic table using a computer shaded by an umbrella, a man sitting at a picnic table under a tent with his eyes closed
262,the view of four cows standing in a row from behind,there are four cows standing on the side of a road, three cows stand on a row of hay in the field
263,a person holding a plate with a sandwich salad and chips on it,a person sits at a table in front of a sandwich on dark bread a salad and cucumbers, a person in a chef s hat is on top of a tray of food on a plate
